Ano;Brasil;Colombia;Cuba;Republica dominicana;Venezuela;Panama;Costa Rica
1880;8141;2163;;;1312;;
1890;10056;2585;;;1922;;
1900;10249;2912;1650;;2079;;
1910;16090;3961;4024;;2311;;
1929;32250;11801;6274;;9131;;835
1940;48408;17436;5643;;11614;;1176
1950;84172;25664;12111;2523;26494;1583;1834
1960;161610;40401;14752;4241;56421;2539;3654
1970;275667;66514;16759;6958;100766;5461;6541
1980;636265;113727;26117;13847;150962;9331;11323
1990;743765;159042;31087;17503;160646;10688;14370
2000;955559;207951;26923;31544;197552;17513;23853
2010;1352620;317600;44503;52839;266462;31989;36096
